Date,Price,Open,High,Low,Chg%
"Feb 05, 2019",33245,33400,33449,33081,-0.28%
"Feb 06, 2019",33327,33360,33445,33292,0.25%
"Feb 07, 2019",33169,33285,33285,33035,-0.47%
"Feb 08, 2019",33242,33199,33258,33011,0.22%
"Feb 11, 2019",33046,33200,33200,32908,-0.59%
"Feb 12, 2019",32851,32995,33075,32813,-0.59%
"Feb 13, 2019",33011,32854,33145,32805,0.49%
"Feb 14, 2019",33079,32950,33107,32874,0.21%
"Feb 15, 2019",33384,33140,33410,33140,0.92%
"Feb 18, 2019",33608,33450,33625,33450,0.67%
"Feb 19, 2019",33899,33650,33918,33581,0.87%
"Feb 20, 2019",33870,33943,34031,33833,-0.09%
"Feb 21, 2019",33449,33780,33799,33417,-1.24%
"Feb 22, 2019",33517,33448,33560,33330,0.20%
"Feb 25, 2019",33300,33511,33539,33277,-0.65%
"Feb 26, 2019",33367,33450,33598,33334,0.20%
"Feb 27, 2019",33286,33461,33617,33242,-0.24%
"Feb 28, 2019",32981,33320,33385,32966,-0.92%
"Mar 01, 2019",32640,32950,33007,32600,-1.03%
"Mar 04, 2019",32370,32550,32550,32255,-0.83%
"Mar 05, 2019",32083,32409,32428,32070,-0.89%
"Mar 06, 2019",31948,32170,32298,31871,-0.42%
"Mar 07, 2019",31934,31931,31965,31777,-0.04%
"Mar 08, 2019",32167,31970,32227,31940,0.73%
"Mar 11, 2019",31896,32124,32154,31875,-0.84%
"Mar 12, 2019",32000,31984,32043,31870,0.33%
"Mar 13, 2019",32207,32050,32319,32050,0.65%
"Mar 14, 2019",31808,32153,32192,31781,-1.24%
"Mar 15, 2019",31826,31886,31940,31742,0.06%
"Mar 18, 2019",31652,31750,31750,31553,-0.55%
"Mar 19, 2019",31960,31725,32006,31657,0.97%
"Mar 20, 2019",31697,31907,31939,31665,-0.82%
"Mar 21, 2019",31819,31911,32038,31767,0.38%
"Mar 22, 2019",32140,31852,32165,31620,1.01%
"Mar 25, 2019",32224,32150,32246,32072,0.26%
"Mar 26, 2019",32104,32180,32204,32015,-0.37%
"Mar 27, 2019",32016,32150,32180,31986,-0.27%
"Mar 28, 2019",31607,32000,32038,31576,-1.28%
"Mar 29, 2019",31734,31588,31819,31500,0.40%
"Apr 01, 2019",31526,31695,31710,31510,-0.66%
"Apr 02, 2019",31490,31547,32430,31450,-0.11%
"Apr 03, 2019",31489,31462,31539,31402,0.00%
"Apr 04, 2019",31492,31471,31501,31471,0.01%
"Apr 05, 2019",31729,31600,31865,31600,0.75%
